代码,名称,旧_结论,新_层級,主结论,三燈,一句话,现价,掛單,止蝕,离入場,离入場%,阻擋,适合度,财报天
SMCI,"Super Micro Computer, Inc.",观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:12），非操作時段,39.09,35.414,35.93,高出 5.7%,5.689690457917625,位置紅 · 勝率紅 · 劃算紅 · IV事件,50.0,44
NFLX,"Netflix, Inc.",观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:12），非操作時段,71.79,73.906,70.2605,差 1.8%,1.7969076473046273,位置紅 · 勝率紅 · 劃算紅 · 逆勢,0.0,30
IONQ,"IonQ, Inc.",观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:12），非操作時段,39.13,40.2191,36.2244,差 0.3%,0.32762586250958253,位置紅 · 勝率紅 · 劃算紅 · IV事件,0.3,45
RGTI,"Rigetti Computing, Inc.",观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:12），非操作時段,15.76,15.9185,14.43,已在區內,0.0,位置紅 · 勝率紅 · 劃算紅 · IV事件,14.6,51
ONDS,Ondas Inc,观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:12），非操作時段,7.39,7.5708,6.91,差 0.3%,0.3396481732070382,位置紅 · 勝率紅 · 劃算紅 · IV事件,0.0,53
PLTR,Palantir Technologies Inc.,观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:12），非操作時段,177.64,161.9951,163.49,高出 5.3%,5.266550326503028,位置紅 · 勝率紅 · 劃算紅 · IV事件,50.0,43
HOOD,"Robinhood Markets, Inc.",观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:12），非操作時段,119.82,110.8362,107.38,高出 4.1%,4.124102820898006,位置紅 · 勝率紅 · 劃算紅 · IV事件 · 逆勢,50.0,45
AVGO,Broadcom Inc.,观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:12），非操作時段,357.61,365.8758,347.5575,差 1.2%,1.1920807583680482,位置紅 · 勝率紅 · 劃算紅,0.0,80
INTC,Intel Corporation,观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:12），非操作時段,108.6,106.62,98.09,已在區內,0.0,位置紅 · 勝率紅 · 劃算紅 · IV事件,52.0,32
MRVL,"Marvell Technology, Inc.",观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:12），非操作時段,244.25,227.1835,218.14,高出 3.9%,3.8976458546571178,位置紅 · 勝率紅 · 劃算紅 · IV事件,52.0,72
APP,Applovin Corporation,观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:12），非操作時段,308.06,358.4332,333.8726,差 12.6%,12.611861325715774,位置紅 · 勝率紅 · 劃算紅 · IV事件 · 逆勢,0.0,45
MSTR,Strategy Inc,观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:12），非操作時段,153.92,134.5532,137.09,高出 9.4%,9.437499999999993,位置紅 · 勝率紅 · 劃算紅 · IV事件,50.0,39
COIN,"Coinbase Global, Inc.",观望,觀察,暫緩觀望,紅/紅/紅,週末（ET Sun 11:12），非操作時段,194.25,174.2234,171.61,高出 7.3%,7.280051480051484,位置紅 · 勝率紅 · 劃算紅 · IV事件 · 逆勢,44.5,39
